dateISO,p_mean,regionDesc,country
01/08/2015,0.94222224,Yorkshire & Humber,England
01/08/2015,0.99159998,North West,England
01/08/2015,0.935,North,England
01/08/2015,0.94124997,Wales,Wales
01/08/2015,0.83142859,Scotland,Scotland
01/08/2015,1.2328571,Northern Ireland,Northern Ireland
01/09/2015,0.90709674,London,England
01/09/2015,0.95096773,South East,England
01/09/2015,1.0024999,South West,England
01/09/2015,0.95086956,East Anglia,England
01/09/2015,0.89285713,East Midlands,England
01/09/2015,0.99411762,West Midlands,England
01/09/2015,0.90555555,Yorkshire & Humber,England
01/09/2015,0.96826088,North West,England
01/09/2015,0.94749999,North,England
01/09/2015,0.99777776,Wales,Wales
01/09/2015,0.85666668,Scotland,Scotland
01/09/2015,1.24125,Northern Ireland,Northern Ireland
01/10/2015,0.94,London,England
01/10/2015,0.98294115,South East,England
01/10/2015,1.0060869,South West,England
01/10/2015,1.0029167,East Anglia,England
01/10/2015,1.0085714,East Midlands,England
01/10/2015,0.96500003,West Midlands,England
01/10/2015,0.93235296,Yorkshire & Humber,England
01/10/2015,0.93739128,North West,England
01/10/2015,0.96545452,North,England
01/10/2015,0.97111112,Wales,Wales
01/10/2015,0.99714285,Scotland,Scotland
01/10/2015,1.1685715,Northern Ireland,Northern Ireland
01/11/2015,0.97437501,London,England
01/11/2015,0.96575755,South East,England
01/11/2015,0.92000002,South West,England
01/11/2015,0.97478259,East Anglia,England
01/11/2015,0.96785712,East Midlands,England
01/11/2015,0.90312499,West Midlands,England
01/11/2015,0.91533333,Yorkshire & Humber,England
01/11/2015,0.94285715,North West,England
01/11/2015,0.95700002,North,England
01/11/2015,0.93124998,Wales,Wales
01/11/2015,0.95249999,Scotland,Scotland
01/11/2015,1.14,Northern Ireland,Northern Ireland
01/12/2015,0.99558824,London,England
01/12/2015,0.9645946,South East,England
01/12/2015,0.9763636,South West,England
01/12/2015,0.98541665,East Anglia,England
01/12/2015,0.86666667,East Midlands,England
01/12/2015,0.93388891,West Midlands,England
01/12/2015,0.93333334,Yorkshire & Humber,England
01/12/2015,0.90703702,North West,England
01/12/2015,0.94272727,North,England
01/12/2015,0.97111112,Wales,Wales
01/12/2015,0.96999997,Scotland,Scotland
01/12/2015,1.17875,Northern Ireland,Northern Ireland
01/01/2016,0.92545456,London,England
01/01/2016,0.954,South East,England
01/01/2016,0.99699998,South West,England
01/01/2016,0.98227274,East Anglia,England
01/01/2016,0.89714283,East Midlands,England
01/01/2016,0.95999998,West Midlands,England
01/01/2016,0.95823526,Yorkshire & Humber,England
01/01/2016,0.94700003,North West,England
01/01/2016,0.93818182,North,England
01/01/2016,0.97375,Wales,Wales
01/01/2016,0.97588235,Scotland,Scotland
01/01/2016,1.1275001,Northern Ireland,Northern Ireland
01/02/2016,0.97733331,London,England
01/02/2016,0.98322582,South East,England
01/02/2016,1.0337499,South West,England
01/02/2016,0.99166667,East Anglia,England
01/02/2016,0.98083329,East Midlands,England
01/02/2016,0.99473685,West Midlands,England
01/02/2016,0.97888887,Yorkshire & Humber,England
01/02/2016,0.96655172,North West,England
01/02/2016,0.98818183,North,England
01/02/2016,0.98624998,Wales,Wales
01/02/2016,1.0041176,Scotland,Scotland
01/02/2016,1.2166667,Northern Ireland,Northern Ireland
01/03/2016,1.0042424,London,England
01/03/2016,1.0370588,South East,England
01/03/2016,1.0147369,South West,England
01/03/2016,1.0216666,East Anglia,England
01/03/2016,0.85785711,East Midlands,England
01/03/2016,0.9795,West Midlands,England
01/03/2016,0.97952378,Yorkshire & Humber,England
01/03/2016,0.96571428,North West,England
01/03/2016,0.95333332,North,England
01/03/2016,0.89909089,Wales,Wales
01/03/2016,0.9861905,Scotland,Scotland
01/03/2016,1.1688889,Northern Ireland,Northern Ireland
01/04/2016,0.96757573,London,England
01/04/2016,0.98974359,South East,England
01/04/2016,0.98500001,South West,England
01/04/2016,0.97708333,East Anglia,England
01/04/2016,0.91399997,East Midlands,England
01/04/2016,0.94647062,West Midlands,England
01/04/2016,0.96428573,Yorkshire & Humber,England
01/04/2016,0.96700001,North West,England
01/04/2016,0.91090906,North,England
01/04/2016,0.92799997,Wales,Wales
01/04/2016,0.96727276,Scotland,Scotland
01/04/2016,1.03,Northern Ireland,Northern Ireland
01/05/2016,1.0205883,London,England
01/05/2016,1.0081578,South East,England
01/05/2016,1.0226086,South West,England
01/05/2016,1.0613043,East Anglia,England
01/05/2016,0.91600001,East Midlands,England
01/05/2016,0.88894737,West Midlands,England
01/05/2016,1.04,Yorkshire & Humber,England
01/05/2016,0.94730771,North West,England
01/05/2016,0.91090906,North,England
01/05/2016,0.96181816,Wales,Wales
01/05/2016,0.99476188,Scotland,Scotland
01/05/2016,1.0366666,Northern Ireland,Northern Ireland
01/06/2016,0.99303031,London,England
01/06/2016,1.0005555,South East,England
01/06/2016,1,South West,England
01/06/2016,1.0291667,East Anglia,England
01/06/2016,0.919375,East Midlands,England
01/06/2016,0.90590912,West Midlands,England
01/06/2016,0.99095237,Yorkshire & Humber,England
01/06/2016,0.91423076,North West,England
01/06/2016,0.90600002,North,England
01/06/2016,0.954,Wales,Wales
01/06/2016,0.9909091,Scotland,Scotland
01/06/2016,1.023,Northern Ireland,Northern Ireland
01/07/2016,0.98941177,London,England
01/07/2016,0.98702705,South East,England
01/07/2016,1.011,South West,England
01/07/2016,0.99545455,East Anglia,England
01/07/2016,0.97333336,East Midlands,England
01/07/2016,1.0133333,West Midlands,England
01/07/2016,0.96333331,Yorkshire & Humber,England
01/07/2016,0.92103446,North West,England
01/07/2016,0.93727273,North,England
01/07/2016,0.98454547,Wales,Wales
01/07/2016,0.9378261,Scotland,Scotland
01/07/2016,0.96999997,Northern Ireland,Northern Ireland
01/08/2016,1.0283333,London,England
01/08/2016,0.99823529,South East,England
01/08/2016,1.0328572,South West,England
01/08/2016,1.0013636,East Anglia,England
01/08/2016,0.97307694,East Midlands,England
01/08/2016,1.0827777,West Midlands,England
01/08/2016,0.98578948,Yorkshire & Humber,England
01/08/2016,1.0093104,North West,England
01/08/2016,0.97727275,North,England
01/08/2016,0.98000002,Wales,Wales
01/08/2016,0.95956522,Scotland,Scotland
01/08/2016,1.04625,Northern Ireland,Northern Ireland
